[ 2024-01-12 10:45:19,105 ] 41 root - INFO - Start dataset download...
[ 2024-01-12 10:45:35,686 ] 24 root - INFO - Dataset Downloaded Successfully. Path: C:\Users\DELL\OneDrive\Desktop\Obj\SD\data
[ 2024-01-12 10:45:35,686 ] 44 root - INFO - Dataset downloaded successfully. Path: C:\Users\DELL\OneDrive\Desktop\Obj\SD\data
[ 2024-01-12 10:45:35,686 ] 47 root - INFO - Start reading the number of classes...
[ 2024-01-12 10:45:35,687 ] 25 root - INFO - Number of classes in our custom Dataset is 6
[ 2024-01-12 10:45:35,687 ] 51 root - INFO - Start creating a custom YAML file...
[ 2024-01-12 10:45:35,704 ] 44 root - INFO - Appended content to existing Custom YAML File at artifacts/model/
[ 2024-01-12 10:45:35,705 ] 53 root - INFO - The Custom Model file is at artifacts/model/custom_yaml.yaml
[ 2024-01-12 10:45:35,705 ] 56 root - INFO - Start training the model...
[ 2024-01-12 10:45:35,705 ] 57 root - INFO - <<<<<<<<<<<<<<<<<<<<>>>>>>>>>>>> artifacts/model/custom_yaml.yaml C:\Users\DELL\OneDrive\Desktop\Obj\SD\data\data.yaml
[ 2024-01-12 10:45:35,705 ] 16 root - INFO - Loading trainer configuration from YAML file...
[ 2024-01-12 10:45:35,713 ] 23 root - INFO - Constructing and executing the training command...
[ 2024-01-12 10:45:35,713 ] 28 root - INFO - python yolov5/train.py --img 640 --batch 16 --epochs 51 --data C:\Users\DELL\OneDrive\Desktop\Obj\SD\data\data.yaml --cfg C:\Users\DELL\OneDrive\Desktop\Obj\SD\artifacts\model\custom_yaml.yaml --weights yolov5s.pt --name yolov5s_results --cache
