[ 2024-01-10 18:29:19,228 ] 41 root - INFO - Start dataset download...
[ 2024-01-10 18:29:35,402 ] 24 root - INFO - Dataset Downloaded Successfully. Path: C:\Users\DELL\OneDrive\Desktop\Sign_Detection_yolo\data
[ 2024-01-10 18:29:35,402 ] 44 root - INFO - Dataset downloaded successfully. Path: C:\Users\DELL\OneDrive\Desktop\Sign_Detection_yolo\data
[ 2024-01-10 18:29:35,406 ] 47 root - INFO - Start reading the number of classes...
[ 2024-01-10 18:29:35,410 ] 25 root - INFO - Number of classes in our custom Dataset is 6
[ 2024-01-10 18:29:35,411 ] 51 root - INFO - Start creating a custom YAML file...
[ 2024-01-10 18:29:35,425 ] 44 root - INFO - Appended content to existing Custom YAML File at artifacts/model/
[ 2024-01-10 18:29:35,425 ] 53 root - INFO - The Custom Model file is at artifacts/model/custom_yaml.yaml
[ 2024-01-10 18:29:35,425 ] 56 root - INFO - Start training the model...
[ 2024-01-10 18:29:35,426 ] 57 root - INFO - <<<<<<<<<<<<<<<<<<<<>>>>>>>>>>>> artifacts/model/custom_yaml.yaml C:\Users\DELL\OneDrive\Desktop\Sign_Detection_yolo\data\data.yaml
[ 2024-01-10 18:29:35,426 ] 16 root - INFO - Loading trainer configuration from YAML file...
[ 2024-01-10 18:29:35,508 ] 23 root - INFO - Constructing and executing the training command...
[ 2024-01-10 18:29:35,509 ] 28 root - INFO - python yolov5/train.py --img 640 --batch 16 --epochs 10 --data C:\Users\DELL\OneDrive\Desktop\Sign_Detection_yolo\data\data.yaml --cfg C:\Users\DELL\OneDrive\Desktop\Sign_Detection_yolo\artifacts\model\custom_yaml.yaml --weights yolov5s.pt --name yolov5s_results --cache
[ 2024-01-10 18:54:02,285 ] 32 root - INFO - Model training completed.
